director,title,year,imdbid,imdbrating,imdbvotes,movieid,plot,poster,released,runtime,tmdb
Kevin Smith,Cop Out,2010,1385867,5.6,73846,74532,"A comedy about a veteran NYPD cop whose rare baseball card is stolen. Since it's his only hope to pay for his daughter's upcoming wedding, he recruits his partner to track down the thief, a memorabilia-obsessed gangster.",http://ia.media-imdb.com/images/M/MV5BMTk0NzcxMjYwNF5BMl5BanBnXkFtZTcwMTI4MTIxMw@@._V1_SX300.jpg,2010-02-26,107,23742
Kevin Smith,Dogma,1999,0120655,7.4,177938,3052,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven.,http://ia.media-imdb.com/images/M/MV5BMTYwMzkzNDQ1MV5BMl5BanBnXkFtZTcwMjAxNTEzMQ@@._V1_SX300.jpg,1999-11-12,130,1832
Kevin Smith,Jay and Silent Bob Strike Back,2001,0261392,6.9,126063,4734,"The comic 'Bluntman and Chronic' is based on real-life stoners Jay and Silent Bob, so when they get no profit from a big-screen adaptation they set out to wreck the movie.",http://ia.media-imdb.com/images/M/MV5BMTIwNTMxMjA2Ml5BMl5BanBnXkFtZTcwNTIyNTEzMQ@@._V1_SX300.jpg,2001-08-24,104,2294
Kevin Smith,Jersey Girl,2004,0300051,6.2,53262,7366,"After his career is sidelined by an unexpected tragedy and a personal blowup, a single man must take care of his precocious daughter.",http://ia.media-imdb.com/images/M/MV5BMTQyMjU0MzczNV5BMl5BanBnXkFtZTcwNTQ1NTYyMQ@@._V1_SX300.jpg,2004-03-26,102,9541
Kevin Smith,Mallrats,1995,0113749,7.2,96628,180,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",http://ia.media-imdb.com/images/M/MV5BMTE5OTkxOTI1Ml5BMl5BanBnXkFtZTcwNjk2MTEzMQ@@._V1_SX300.jpg,1995-10-20,94,2293
Kevin Smith,Red State,2011,0873886,6.2,52083,89343,"Set in Middle America, a group of teens receive an online invitation for sex, though they soon encounter fundamentalists with a much more sinister agenda.",http://ia.media-imdb.com/images/M/MV5BMTQyNjMwMzA1MV5BMl5BanBnXkFtZTcwMzQyNDAxNg@@._V1_SX300.jpg,2011-09-30,88,48572
Kevin Smith,Tusk,2014,3099498,5.4,28788,114670,"When podcaster Wallace Bryton goes missing in the backwoods of Manitoba while interviewing a mysterious seafarer named Howard Howe, his best friend Teddy and girlfriend Allison team with an ex-cop to look for him.",http://ia.media-imdb.com/images/M/MV5BMjI4Nzk1NjkyNl5BMl5BanBnXkFtZTgwMjk4OTUxMjE@._V1_SX300.jpg,2014-09-19,102,246403
Kevin Smith,Zack and Miri Make a Porno,2008,1007028,6.6,147162,62434,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",http://ia.media-imdb.com/images/M/MV5BMTMwNzM5MTIxNl5BMl5BanBnXkFtZTcwNzkwNzM5MQ@@._V1_SX300.jpg,2008-10-31,101,10358
Hal Needham,Cannonball Run II,1984,0087032,4.8,11411,4397,The original characters from the first Cannonball movie race across the country once more in various cars and trucks.,http://ia.media-imdb.com/images/M/MV5BMjUwMzQzOTA0M15BMl5BanBnXkFtZTYwMTkwMzc5._V1_SX300.jpg,1984-06-29,108,11950
Hal Needham,"Cannonball Run, The",1981,0082136,6.1,25131,4396,"A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. However, the eccentric entrants will do anything to win the road race, including low-down, dirty tricks.",http://ia.media-imdb.com/images/M/MV5BMTMwNzYwMDg1NV5BMl5BanBnXkFtZTcwNzY2NjUxMQ@@._V1_SX300.jpg,1981-06-19,95,11286
Hal Needham,Smokey and the Bandit,1977,0076729,6.9,31563,5247,The Bandit is hired on to run a tractor trailer full of beer over county lines in hot pursuit by a pesky sheriff.,http://ia.media-imdb.com/images/M/MV5BMTA3MzA0NjAxMjNeQTJeQWpwZ15BbWU3MDYzOTcyMzE@._V1_SX300.jpg,1977-05-27,96,11006
Hal Needham,Smokey and the Bandit II,1980,0081529,5.1,10724,5246,"The Bandit goes on another cross-country run, transporting an elephant from Florida to Texas. And, once again, Sheriff Buford T. Justice is on his tail.",http://ia.media-imdb.com/images/M/MV5BMTc3MjUwOTUyMl5BMl5BanBnXkFtZTcwNDk4NTcxMQ@@._V1_SX300.jpg,1980-08-15,100,12705
Marcus Dunstan,"Collection, The",2012,1748227,6.1,34894,99470,A man who escapes from the vicious grips of the serial killer known as The Collector is blackmailed to rescue an innocent girl from the killer's booby-trapped warehouse.,http://ia.media-imdb.com/images/M/MV5BODQ0MDgzNDA0NV5BMl5BanBnXkFtZTcwNDM4MDQ1OA@@._V1_SX300.jpg,2012-11-30,82,134597
Hal Roach,"Billy Blazes, Esq.",1919,0009932,6.1,503,72626,"Billy Blazes confronts Crooked Charley, who has been ruling the town of Peaceful Vale through fear and violence.",null,1919-07-06,12,53516
Aristomenis Tsirbas,Terra (a.k.a. Battle for Terra),2007,0858486,6.7,9803,71318,"A peaceful alien planet faces annihilation, as the homeless remainder of the human race sets its eyes on Terra. Mala, a rebellious Terrian teenager, will do everything she can to stop it.",http://ia.media-imdb.com/images/M/MV5BMTQ4NDc1NTYwM15BMl5BanBnXkFtZTcwODY3MTUzMg@@._V1_SX300.jpg,2009-05-01,85,16873
Gary Winick,13 Going on 30,2004,0337563,6.1,117678,7444,A 13 year old girl plays a game on her 13th birthday and wakes up the next day as a 30 year old woman.,http://ia.media-imdb.com/images/M/MV5BMjA1MTI3ODEwNF5BMl5BanBnXkFtZTcwOTA4NDUyMQ@@._V1_SX300.jpg,2004-04-23,98,10096
Gary Winick,Bride Wars,2009,0901476,5.4,75933,65585,Two best friends become rivals when they schedule their respective weddings on the same day.,http://ia.media-imdb.com/images/M/MV5BMTA2MjU3NjQ3NzReQTJeQWpwZ15BbWU3MDEyNzE4OTE@._V1_SX300.jpg,2009-01-09,89,10521
Gary Winick,Charlotte's Web,2006,0413895,6.4,26713,49647,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.",http://ia.media-imdb.com/images/M/MV5BMTQ5MTUzMTAzMl5BMl5BanBnXkFtZTcwNTE0NTcyMw@@._V1_SX300.jpg,2006-12-15,97,9986
Gary Winick,Letters to Juliet,2010,0892318,6.5,71437,78316,"Sophie dreams of becoming a writer and travels to Verona, Italy where she meets the Secretaries of Juliet.",http://ia.media-imdb.com/images/M/MV5BMjg0OTU0NDYwNF5BMl5BanBnXkFtZTcwNzUwNTMyMw@@._V1_SX300.jpg,2010-05-14,105,37056
Buddy Van Horn,Any Which Way You Can,1980,0080377,6,12639,4714,"Philo takes part in a bare knuckle fight - as he does - to make some more money than he can earn from his car repair business. He decides to retire from fighting, but when the Mafia come ...",http://ia.media-imdb.com/images/M/MV5BMTc5MTc5NTc3Nl5BMl5BanBnXkFtZTcwMDM3MDUyMQ@@._V1_SX300.jpg,1980-12-17,116,17169
Buddy Van Horn,"Dead Pool, The",1988,0094963,6.3,30060,4498,"Dirty Harry Callahan must stop a sick secret contest to murder local celebrities, which includes himself as a target.",http://ia.media-imdb.com/images/M/MV5BMTAwODcyNzI3MTJeQTJeQWpwZ15BbWU3MDc3MDA1MTE@._V1_SX300.jpg,1988-07-13,91,10651
Jonathan Liebesman,Battle: Los Angeles,2011,1217613,5.8,152175,85131,A squadron of U.S. Marines becomes the last line of defense against a global invasion.,http://ia.media-imdb.com/images/M/MV5BMjA2MjQ2MzMwMV5BMl5BanBnXkFtZTcwMjIwODgzNA@@._V1_SX300.jpg,2011-03-11,116,44943
Jonathan Liebesman,Darkness Falls,2003,0282209,4.9,25316,6040,"A vengeful spirit has taken the form of the Tooth Fairy to exact vengeance on the town that lynched her 150 years earlier. Her only opposition is the only child, now grown up, who has survived her before.",http://ia.media-imdb.com/images/M/MV5BMTM1MjAyMjIxMF5BMl5BanBnXkFtZTYwNzI0MDg5._V1_SX300.jpg,2003-01-24,86,10727
Jonathan Liebesman,Teenage Mutant Ninja Turtles,2014,1291150,5.9,157045,113348,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",http://ia.media-imdb.com/images/M/MV5BNjUzODQ5MDY5NV5BMl5BanBnXkFtZTgwOTc1NzcyMjE@._V1_SX300.jpg,2014-08-08,101,98566
Jonathan Liebesman,"Texas Chainsaw Massacre: The Beginning, The",2006,0420294,5.9,54919,48518,"On one last road trip before they're sent to serve in Vietnam, two brothers and their girlfriends get into an accident that calls their local sheriff to the scene. Thus begins a terrifying experience where the teens are taken to a secluded house of horrors, where a young, would-be killer is being nurtured.",http://ia.media-imdb.com/images/M/MV5BMTMwODg0NDgyNV5BMl5BanBnXkFtZTcwODE5OTMzMQ@@._V1_SX300.jpg,2006-10-06,91,10781
Jonathan Liebesman,Wrath of the Titans,2012,1646987,5.8,148726,93766,"Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world.",http://ia.media-imdb.com/images/M/MV5BMjMyMzk1Nzg3OF5BMl5BanBnXkFtZTcwOTQ2NjcxNw@@._V1_SX300.jpg,2012-03-30,99,57165
Michael Blieden,Super High Me,2007,1111833,6.2,11213,59143,Stand up comedian and marijuana user Doug Benson documents thirty days of pot free living and thirty days of non-stop use to compare the effects of both.,http://ia.media-imdb.com/images/M/MV5BMTM2OTk1MDI2MF5BMl5BanBnXkFtZTcwNjE3MjU2MQ@@._V1_SX300.jpg,2008-04-20,94,14236
Michael Blieden,Zach Galifianakis: Live at the Purple Onion,2006,0804558,7.4,2469,74152,"A master of the one-liner with an absurd rambling style, Zach's sharp, resonating humor makes his show at the famed Purple Onion in San Francisco one of the funniest performances in recent comedy.",http://ia.media-imdb.com/images/M/MV5BMTcyMDg1MTEwMl5BMl5BanBnXkFtZTcwMjExMTY0MQ@@._V1_SX300.jpg,2007-03-06,90,16453
Zach Braff,Garden State,2004,0333766,7.6,185069,8784,A quietly troubled young man returns home for his mother's funeral after being estranged from his family for a decade.,http://ia.media-imdb.com/images/M/MV5BMjc5MDE0NjkxOF5BMl5BanBnXkFtZTcwNzA0NTkyMw@@._V1_SX300.jpg,2004-08-20,102,401
Damien Dante Wayans,Dance Flick,2009,1153706,3.5,10028,68965,"Street dancer Thomas Uncles is from the wrong side of the tracks, but his bond with the beautiful Megan White might help the duo realize their dreams as they enter in the mother of all dance battles.",http://ia.media-imdb.com/images/M/MV5BMTM0OTQzMDMyOV5BMl5BanBnXkFtZTcwODk3MzQwMg@@._V1_SX300.jpg,2009-05-22,83,21724
Dean DeBlois,Heima,2007,1094594,8.6,6804,58425,"In the summer of 2006, Sigur Rós returned home to play a series of free, unannounced concerts for the people of Iceland. This film documents their already legendary tour with intimate ...",http://ia.media-imdb.com/images/M/MV5BMTY0NjI0ODY3NV5BMl5BanBnXkFtZTcwNDg5MDU1MQ@@._V1_SX300.jpg,2007-10-05,97,14793
Dean DeBlois,How to Train Your Dragon,2010,0892769,8.2,463155,76093,"A hapless young Viking who aspires to hunt dragons, becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",http://ia.media-imdb.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX300.jpg,2010-03-26,98,10191
Dean DeBlois,How to Train Your Dragon 2,2014,1646971,7.9,207901,112175,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",http://ia.media-imdb.com/images/M/MV5BMzMwMTAwODczN15BMl5BanBnXkFtZTgwMDk2NDA4MTE@._V1_SX300.jpg,2014-06-13,102,82702
Dean DeBlois,Lilo & Stitch,2002,0275847,7.2,111034,5444,A Hawaiian girl adopts an unusual pet who is actually a notorious extra-terrestrial fugitive from the law.,http://ia.media-imdb.com/images/M/MV5BMTkwOTU5MTA2M15BMl5BanBnXkFtZTYwMjYyNTc3._V1_SX300.jpg,2002-06-21,85,11544
Martin Wood,Stargate: Continuum,2008,0929629,7.6,16868,60674,Ba'al travels back in time and prevents the Stargate program from being started. SG-1 must somehow restore history.,http://ia.media-imdb.com/images/M/MV5BMjE4MTc1NTYyNF5BMl5BanBnXkFtZTcwMjExNDI3NA@@._V1_SX300.jpg,2008-07-29,98,12914
John Cameron Mitchell,Hedwig and the Angry Inch,2001,0248845,7.8,25708,4642,A transsexual punk-rock girl from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,"http://ia.media-imdb.com/images/M/MV5BMjE1NTIxNzQ5NF5BMl5BanBnXkFtZTYwMDMzODA5._V1._CR0,1,265,404_SX89_AL_.jpg_V1_SX300.jpg",2001-08-31,95,13403
John Cameron Mitchell,Shortbus,2006,0367027,6.6,26761,48744,"A group of New Yorkers caught up in their romantic-sexual milieu converge at an underground salon infamous for its blend of art, music, politics, and carnality.",http://ia.media-imdb.com/images/M/MV5BMjE2NjQ5MDE2MF5BMl5BanBnXkFtZTcwOTc4ODA0MQ@@._V1_SX300.jpg,2006-10-20,101,1378
Tom Tykwer,Heaven,2002,0246677,7.1,20137,5633,"A woman takes the law into her own hands after police ignore her pleas to arrest the man responsible for her husband's death, and finds herself not only under arrest for murder but falling in love with an officer.",http://ia.media-imdb.com/images/M/MV5BMTQwMTA1ODM0M15BMl5BanBnXkFtZTcwNjYxMTUxMQ@@._V1_SX300.jpg,2002-02-21,97,10575
Tom Tykwer,"International, The",2009,0963178,6.5,79142,66198,An Interpol agent attempts to expose a high-profile financial institution's role in an international arms dealing ring.,http://ia.media-imdb.com/images/M/MV5BMjE3Njg5NzY2OV5BMl5BanBnXkFtZTcwMDMxNjEwMg@@._V1_SX300.jpg,2009-02-13,118,4959
Tom Tykwer,Perfume: The Story of a Murderer,2006,0396171,7.5,185734,48997,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",http://ia.media-imdb.com/images/M/MV5BMTI0NjUyMTk3Nl5BMl5BanBnXkFtZTcwOTA5MzkzMQ@@._V1_SX300.jpg,2007-01-05,147,1427
Tom Tykwer,"Princess and the Warrior, The (Krieger und die Kaiserin, Der)",2000,0203632,7.6,12890,4380,"Young nurse Sissi lives a secluded life, seemingly entirely devoted to her patients at Birkenhof asylum. Her first encounter with ex-soldier and drifter Bodo has a lasting impact. He causes...",http://ia.media-imdb.com/images/M/MV5BMTgxMjAyODc5Nl5BMl5BanBnXkFtZTcwMTU1NzYxMQ@@._V1_SX300.jpg,2000-10-12,135,9301
Tom Tykwer,Run Lola Run (Lola rennt),1998,0130827,7.8,158418,2692,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",http://ia.media-imdb.com/images/M/MV5BMjA5MDg3MjYyOF5BMl5BanBnXkFtZTgwODk3NjkzMTE@._V1_SX300.jpg,1999-06-18,80,104
Andrew Adamson,"Chronicles of Narnia: Prince Caspian, The",2008,0499448,6.6,144359,59501,"The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",http://ia.media-imdb.com/images/M/MV5BMTIwOTA4NTE4Ml5BMl5BanBnXkFtZTcwOTI2NTg1MQ@@._V1_SX300.jpg,2008-05-16,150,2454
Andrew Adamson,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The",2005,0363771,6.9,276710,41566,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,http://ia.media-imdb.com/images/M/MV5BMTc0NTUwMTU5OV5BMl5BanBnXkFtZTcwNjAwNzQzMw@@._V1_SX300.jpg,2005-12-09,143,411
Andrew Adamson,Shrek,2001,0126029,7.9,448396,4306,"After his swamp is filled with magical creatures, an ogre agrees to rescue a princess for a villainous lord in order to get his land back.",http://ia.media-imdb.com/images/M/MV5BMTk2NTE1NTE0M15BMl5BanBnXkFtZTgwNjY4NTYxMTE@._V1_SX300.jpg,2001-05-18,90,808
Andrew Adamson,Shrek 2,2004,0298148,7.2,302787,8360,Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.,http://ia.media-imdb.com/images/M/MV5BMTk4MTMwNjI4M15BMl5BanBnXkFtZTcwMjExMzUyMQ@@._V1_SX300.jpg,2004-05-19,93,809
Simon Curtis,My Week with Marilyn,2011,1655420,7,70225,91134,"Colin Clark, an employee of Sir Laurence Olivier's, documents the tense interaction between Olivier and Marilyn Monroe during the production of The Prince and the Showgirl (1957).",http://ia.media-imdb.com/images/M/MV5BMTYzODYwOTIzOV5BMl5BanBnXkFtZTcwODE2NjAwNw@@._V1_SX300.jpg,2011-12-23,99,75900
Richard Wenk,Vamp,1986,0092147,5.8,3428,4753,"Two fraternity pledges go to a sleazy bar looking for strippers to entertain their college friends. They have problems with transportation, Biker gangs, and worst of all, the staff of the ...",http://ia.media-imdb.com/images/M/MV5BMTgzMzU2MzUyNV5BMl5BanBnXkFtZTcwMTkzNjIyMQ@@._V1_SX300.jpg,1986-07-18,93,34223
Penny Marshall,Awakenings,1990,0099077,7.8,89939,3105,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",http://ia.media-imdb.com/images/M/MV5BMjI5NjEzMDYyMl5BMl5BanBnXkFtZTgwNjgwNTg4NjE@._V1_SX300.jpg,1991-01-11,121,11005
Penny Marshall,Big,1988,0094737,7.3,148326,2797,"When a boy wishes to be big at a magic wish machine, he wakes up the next morning and finds himself in an adult body.",http://ia.media-imdb.com/images/M/MV5BNDk0OTM1Mzk3M15BMl5BanBnXkFtZTgwNDg2NjIyMDE@._V1_SX300.jpg,1988-06-03,104,2280
Penny Marshall,Jumpin' Jack Flash,1986,0091306,5.8,14522,2468,"Terry works for a bank, and uses computers to communicate with clients all over the world. One day she gets a coded message from an unknown source. After decoding the message, Terry becomes...",http://ia.media-imdb.com/images/M/MV5BMTMzMTUxMzg2Ml5BMl5BanBnXkFtZTcwMjUyOTUyMQ@@._V1_SX300.jpg,1986-10-10,105,10945
Penny Marshall,"League of Their Own, A",1992,0104694,7.2,69482,3255,Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.,http://ia.media-imdb.com/images/M/MV5BMTM1NzQ1OTM3NF5BMl5BanBnXkFtZTcwMDAwMjUyMQ@@._V1_SX300.jpg,1992-07-01,128,11287
Penny Marshall,"Preacher's Wife, The",1996,0117372,5.4,8623,1363,"Good natured Reverend Henry Biggs finds that his marriage to choir mistress Julia is flagging, due to his constant absence caring for the deprived neighborhood they live in. On top of all ...",http://ia.media-imdb.com/images/M/MV5BMjA0NTgyMjgxMF5BMl5BanBnXkFtZTcwOTM5MzUyMQ@@._V1_SX300.jpg,1996-12-13,123,21539
Penny Marshall,Renaissance Man,1994,0110971,6.1,13532,516,A down-on-his-luck businessman desperately takes the only job offered - a teacher in the U.S. Army. His mission: keep a ragtag bunch of underachieving misfits from flunking out of basic ...,http://ia.media-imdb.com/images/M/MV5BMTI5MDI4MzM4M15BMl5BanBnXkFtZTcwMTE2MTIyMQ@@._V1_SX300.jpg,1994-06-03,128,11858
Penny Marshall,Riding in Cars with Boys,2001,0200027,6.4,21895,4867,"A single mother, with dreams of becoming a writer, has a son at the age of 15 in 1965, and goes through a failed marriage with the drug-addicted father.",http://ia.media-imdb.com/images/M/MV5BMTQ5Nzg2NjQwNl5BMl5BanBnXkFtZTcwMzg4ODcxMQ@@._V1_SX300.jpg,2001-10-19,132,11091
Walter Hill,48 Hrs.,1982,0083511,6.9,51195,5049,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",http://ia.media-imdb.com/images/M/MV5BMTQ5MzM4NTc1OV5BMl5BanBnXkFtZTcwNzE1NjkxMQ@@._V1_SX300.jpg,1982-12-08,96,150
Walter Hill,Another 48 Hrs.,1990,0099044,5.8,28454,5027,"Jack Cates once again enlists the aid of ex-con Reggie Hammond--this time, to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area.",http://ia.media-imdb.com/images/M/MV5BNTAzOTE4MzgwNV5BMl5BanBnXkFtZTgwNDgwNTg4NjE@._V1_SX300.jpg,1990-06-08,93,11595
Walter Hill,Brewster's Millions,1985,0088850,6.5,27482,4010,"A minor-league baseball player has to spend $30,000,000 in thirty days in order to inherit $300,000,000. However, he's not allowed to tell anyone about the deal.",http://ia.media-imdb.com/images/M/MV5BMjAzOTE2MzA2NF5BMl5BanBnXkFtZTYwMTM0NTg4._V1_SX300.jpg,1985-05-22,102,11064
Walter Hill,Bullet to the Head,2012,1308729,5.7,38329,91483,"After watching their respective partners die, a New Orleans hitman and a Washington D.C. detective form an alliance in order to bring down their common enemy.",http://ia.media-imdb.com/images/M/MV5BMTM4NzUyMjk2NV5BMl5BanBnXkFtZTcwOTUxNDc5OA@@._V1_SX300.jpg,2013-02-01,92,70074
Walter Hill,Extreme Prejudice,1987,0092997,6.6,4313,4106,"A Texas Ranger and a ruthless narcotics kingpin - they were childhood friends, now they are adversaries...",http://ia.media-imdb.com/images/M/MV5BNDcwNTM2MTU3OF5BMl5BanBnXkFtZTYwNDgzMzc4._V1_SX300.jpg,1987-04-24,104,20287
Walter Hill,Geronimo: An American Legend,1993,0107004,6.5,6475,458,The story of the Apache chief and his armed resistance to the US Government's subjugation of his people.,http://ia.media-imdb.com/images/M/MV5BMTc2MDY2NjM1OF5BMl5BanBnXkFtZTYwMDE0NzQ5._V1_SX300.jpg,1993-12-10,115,35588
Walter Hill,Last Man Standing,1996,0116830,6.4,43467,996,A drifting gunslinger-for-hire finds himself in the middle of an ongoing war between the Irish and Italian mafia in a Prohibition era ghost town.,http://ia.media-imdb.com/images/M/MV5BMTIyOTE2ODQ2OF5BMl5BanBnXkFtZTYwMjY4Mjg5._V1_SX300.jpg,1996-09-20,101,9333
